 '	 ‘
半 夏	半夏
攀結	鬱結
攀急	攣急
斑疼	斑疹
攀發	鬱發
搬粉	澱粉
潘盛	燔盛
潘養	濡養
반웅	반응
攀閉	鬱閉
받of	받아
받이#여	받아들여
받이#이	받아들이
받이\"	받아
받이•	받아
발 달	발달
발 생	발생
발 전	발전
發疼	發疹
發로	竅로
發渗	發疹
拔爷	茯苓
膀 胱	膀胱
방 법	방법
防己易	防己湯
방둥통	방풍통
방뚱통	방풍통
방뚱통성	방풍통성
방법을 사\^하	방법을 사용하
膀上悸	臍上悸
膀腕	膀胱
膀犹	膀胱
妨維	紡錐
防已	防己
妨鍾形	紡錐形
방줌통성	방풍통성
방품통	방풍통
방풍통 성 산	방풍통성산
膀下悸	臍下悸
膀下怪	膀下悸
배 꼽	배꼽
配 伍	配伍
培乾	焙乾
排膽	排膿
排膜	排膿
背毛	茸毛
白 ： E	白芷
白 求	白朮
白 色	白色
白 芍	白芍
白 朮	白朮
백 태	백태
白 蔽	白蘞
白:！ti	白朮
白:£	白芷
白:E	白芷
白；E	白芷
白S	白芨
白Tit	白朮
白Ttfc	白朮
白苦	白苔
白求	白朮
白攀	白礬
白宣寇	白荳蔲
白与	白芍
白才L	白朮
白척	白芍
白遷霞	白彊蠶
白朮 天麻湯	白朮天麻湯
白蔽	白蘞
白포	白芷
白표	白芨
白효	白芷
繁 甲	鱉甲
繁甲	鱉甲
煩憑	煩懣
蕃했仁	薏苡仁
繁血	鱉血
벗 	벗
변 비	변비
邊 緣	邊緣
변 화	변화
辨if	辨證
辨it	辨證
辨m	辨證
變積	鬱積
변증\(辨譜	변증(辨證)
변증과치료	변증과 치료
變滯	鬱滯
별 히	별히
併	倂
餅	餠
병 적인	병적인
병 형 분류	병형 분류
病A	病人
병형분류	병형 분류
보 여	보여
보 통	보통
보깅	보강
보디는	보다는
菩白	苔白
譜語	譫語
菩焦	苔焦
補賢	補腎
복 력	복력
복 령	복령
복 통	복통
複棄	複葉
茯茶	茯苓
腹腺	腹脹
복잡 하	복잡하
腹清	腹瀉
茯측	茯苓
茯층	茯苓
茯품	茯苓
腹皮鄉	腹皮拘攣
茯혼	茯苓
본 능	본능
본 래	본래
本 品	本品
본것	본 것
볼수있	볼 수 있
捧	痺
棒	悸
棒瘡	痔瘡
不 	不
부 분	부분
不 隨	不隨
부 터	부터
부\(膽\)	부(腑)
婦A	婦人
附A	附人
賦苦	膩苔
附구	附子
肤痰	祛痰
부맥\(浮月© 	부맥(浮脈)
不濱	不瀉
부식■	부삭
腐心	瀉心
府熱	疳熱
肤癒	祛瘀
不敵	不斂
腐触	腐蝕
肤風	祛風
肤寒	祛寒
肤痕	祛痰
분 류	분류
분 비	분비
奔M	奔豚
盆氣	益氣
愤濃	懊憹
奔脉	奔豚
奮香	藿香
佛蠻	怫鬱
불웅	불응
棚砂	硼砂
붕투	붕루
비 교적	비교적
비 롯	비롯
秘 典	秘典
비\(牌\)	비(脾)
臂經	臂脛
비교 적	비교적
鼻紐	鼻衄
비癌	비痞
臂陽	腎陽
備圓	橢圓
脾賢	脾腎
臂形	脣形
빈 번	빈번
濱肝	瀉肝
滨肝	瀉肝
濱心	瀉心
滨心	瀉心
빋이들•	받아들
빙•어	방어
빴 	빴
빼脇	胸脇
뾰 	뾰
뾰鈴	兜鈴
뿌 리	뿌리
ᄉ®	人蔘
ᄉ赛	人蔘
ᄉ蔡	人蔘
ᄉ	人
邪 客	邪客
史 記	史記
사 람	사람
사 회	사회
四\*	四大
사\^I龍湯	小靑龍湯
사§•	사용
祀菊	杞菊
사균자	사군자
瀉铜	瀉痢
瀉爛	潰爛
四物蘭	四物湯
四物港	四物湯
四物황	四物湯
사상의 학	사상의학
梭線	稜線
사심 탕	사심탕
四逆淸	四逆湯
사용 한	사용한
사운할	사용할
사진\(四談	사진(四診
沙參	沙蔘
赦瘡	斂瘡
朔果	蒴果
삭맥\(數M	삭맥(數脈
產	産
酸S仁	酸棗仁
酸轰仁	酸棗仁
酸棄仁	酸棗仁
山梅子	山梔子
散슴	散合
酸藥仁	酸棗仁
산\-엔돌핀	β-엔돌핀
散癒	散瘀
산조 인	산조인
酸秦仁	酸棗仁
山菜英	山茱萸
散蔽	散瘀
散疲	散瘀
酸酵	醱酵
撒梗	繖梗
撒房	繖房
撒狀	繖狀
撒形	繖形
撒花	繖花
三 卷	三卷
삼 소음	삼소음
桑 白	桑白
상 징	상징
상 한론	상한론
傷A	傷人
上ft症	上氣症
상과임상	상과 임상
傷臂	傷腎
箱子	葙子
上充	上亢
上七發	上七竅
상태를	상태를 
상하\^뇌하	상하부-뇌하
상한론 總論	상한론傷寒論
상한론«論	상한론傷寒論
상한론mr論	상한론傷寒論
상한론췌論	상한론傷寒論
상한론했論	상한론傷寒論
傷賢	傷腎
塞味	薑味
赛香	麝香
赛黃	萎黃
색\(畜\)	색(嗇)
索亂	紊亂
생 각	생각
생 강탕	생강탕
생 겨	생겨
생 기	생기
生 氣	生氣
생 물	생물
생 산	생산
생 체	생체
生■湯	生薑湯
생강 탕	생강탕
生薑황	生薑湯
생긱	생각
生蓮湯	生薑湯
생리 학	생리학
生蔓	生薑
생명활\^	생명활동
生墓	生薑
生醫	生翳
生晝	生薑
生蓄	生薑
生畫	生薑
緒	緖
서 양의학	서양의학
서양의 학	서양의학
石 膏	石膏
石科	石斛
石料	石斛
石賣	石膏
石裔	石膏
腊下	臍下
善 忘	善忘
宣蠻	宣鬱
腺滿	脹滿
선밍	선망
禪蛻	蟬蛻
선\-엔돌핀	β-엔돌핀
禪悅	禪蛻
禪脫	蟬蛻
禪退	蟬退
설 명	설명
舌苦	舌苔
泄涛	泄瀉
舌綠	舌絳
설명 하	설명하
舌菩	舌苔
泄濕	泄瀉
泄演	泄瀉
설정 하	설정하
泄清	泄瀉
泄湯	泄瀉
泄海	泄瀉
繊	纖
聖A	聖人
誠術	鍼術
성종 양	성종양
醒通學	匯通學
细	細
세 포	세포
션파	β파
소 건중	소건중
素 問	素問
小 柴胡	小柴胡
소 청룡	소청룡
小 便	小便
小A	小人
小技	小枝
小督	小眥
소뚱산	소풍산
少菩	少苔
소복\(小膨	소복(小腹)
銷狀	鞘狀
消癌	消痞
소양 병	소양병
消癒	消癰
小稳	小穗
소줌산	소풍산
소청룡	소청통
小靑龍 湯	小靑龍湯
소청통	소청룡
銷齒	鋸齒
消褒	消痰
소품산	소풍산
소회될•량	소화불량
속 적	속적
孫思it	孫思邈
孫思M	孫思邈
摔痛	痺痛
晒 乾	晒乾
쇼痛	止痛
수 \^다	수 있다
수 있다	 수 있다
수\^체	수용체
수§•체	수용체
水甘 湯	朮甘湯
水灸	水炙
瘦厥	痙厥
수기\(水놓	수기(水氣
收流	收澁
瘦瘤	癭瘤
瘦攀	痙攣
瘦捧	瘙痒
收赦	收斂
瘦軟	痿軟
收溫	收澁
수있	수 있
收敵	收斂
瘦腫	癰腫
寿瘡	痔瘡
瘦痛	痠痛
愁火	慾火
淑水	漱水
純頭	鈍頭
純圓	鈍圓
循子	梔子
荀片	苞片
숫 	숫
숲\{募	金傷
쉽 	쉽
스 러	스러
스 런	스런
스 테로	스테로
스 트레	스트레
스트 레	스트레
슬 러	슬러
膝苔	膩苔
濕疼	濕疹
濕蠻	濕鬱
濕渗	濕疹
濕摔	濕痺
승 마	승마
승:\)1탕	승기탕
承ft湯	承氣湯
勝胱	膀胱
승기 탕	승기탕
承氣끓	承氣湯
承氣港	承氣湯
承氣海	承氣湯
승회\"Sub	승화sub
시 냅	시냅
시 대	시대
始 生	始生
시 켜	시켜
시 키	시키
시 키는	시키는
시 킬	시킬
시 킴	시킴
柴 胡	柴胡
시■용	사용
시·용	사용
시•용	사용
시계 지건강팅	시호계지건강탕
시군자	사군자
시넷	시냇
柴茶	柴苓
始糖	飴糖
柴勵ms	柴胡加
柴朴渴	柴朴湯
시박팅	시박탕
廝旁	臍旁
시상의 학	사상의학
시상의학	사상의학
시상히\^	시상하부
시술지	시술자
시싱•	사상
柴爷	柴苓
시용	사용
시율계지\^\"	시호계지탕
柴측	柴苓
柴층	柴苓
柴胡桂枝溪	柴胡桂枝湯
柴胡溝肝	柴胡淸肝
柴胡易	柴胡湯
柴胡游	柴胡湯
柴胡場	柴胡湯
柴혼	柴苓
柴홉	柴苓
时後	肘後
柴휴	柴苓
柴흑湯	柴苓湯
柴흡湯	柴苓湯
食®	食鹽
食攀	食鬱
食愁	食慾
食懲	食鬱
媳風	熄風
殖霞	殭蠶
慎	瀉
肾	腎
신 경	신경
신 경통	신경통
신 진대사	신진대사
신 체	신체
新 編	新編
신 호	신호
신\(背\)	신(腎)
신\(賢\)	신(腎)
신경 학	신경학
신양허W陽	신양허腎陽
신음허W陰	신음허腎陰
辛夷	辛荑
辛喊	辛鹹
신허Wit 	신허腎虛
신賢	신腎
娠眩	賑眩
慎火	瀉火
實 熱	實熱
실 증	실증
실 험	실험
室葉	莖葉
실이•	살아 
실資	실實
心 法	心法
心 有	心有
심 전도	심전도
심 층	심층
心窮	心竅
深綠	深絳
心發	心竅
心棒	心悸
心俘	心悸
心愁	心慾
心窝해	心窩部
心下窟鞭	心下痞鞭
心下唐	心下痞
心下俘	心下悸
心下宿	心下痞
心下癌	心下痞
心下癌5M	心下痞硬
心下痛	心下痞
心賢	心腎
심히\(心	심하(心
十A	十人
싱습	상습
싱승	상승
ᅀ시J：\^■	소시호탕
鸦	鴉
아 니	아니
아 드레	아드레
아 버	아버
아 직	아직
牙艱	牙齦
牙鳥	鴉
악 화	악화
惡賠	惡虧
安 中勸	安中散
顏動	顫動
안태지투	안태지루
按該	按診
眼險	眼瞼
않 	않
알 코	알코
알이•	알아
胺風	祛風
癌	癲
暗 褐	暗褐
癌滿	痞滿
鴨妬	鴨跖
았 	았
애칙	애착
앤 다	앤다
爷桂	苓桂
夜茶	茯苓
惹白	蔥白
夜爷	茯苓
惹졌仁	薏苡仁
夜측	茯苓
爷後	茯苓
夜휴	茯苓
약 물	약물
약간다	약간 다
薬本	藁本
陽 A	陽人
陽A	陽人
양명 병	양명병
陽上充	陽上亢
陽瘦	陽痿
壤玉膏	瓊玉膏
陽充	陽亢
於 	於
어 느	어느
어 떠	어떠
어 떤	어떤
어 린	어린
어 야 	어야 
어 야한다	어야 한다
어 울	어울
어 져	어져
어 지게	어지게
어 진다	어진다
어야한다	어야 한다
어혈\(疲血	어혈(瘀血
억 간산	억간산
억간 산	억간산
抑蠻	抑鬱
言歸躍艾湯	芎歸膠艾湯
彦陣	彦暉
얼 굴	얼굴
없 	없
없디	없다
었 	었
었 다	었다
에 띠과	에 따라
에 띠와	에 따라
에 서 	에서 
에 이 용	에 이용
에\(\s\)게	에게
에\(\s\)서 	에서
게 는	게는
에관	에 관
에까	에 까
에는\(\[^ \]\)	에는 $1
에대	에 대
에들	에 들
에디슨병	애디슨병
에따	에 따
에많	에 많
에분포	에 분포
에사용	에 사용
에서 는 	에서는 
에서 도 	에서도 
에응용	에 응용
에의	에 의
에있	에 있
에작	에 작
에적	에 적
엑 기스	엑기스
엑기 스	엑기스
엔 돌핀	엔돌핀
여 겨	여겨
여 러	여러
여 윈	여윈
여넓	여덟
여야한다	여야 한다
与藥	芍藥
역 할	역할
研	硏
铅	鉛
연 관	연관
연싱	연상
演火	瀉火
熱督癒	熱瞀瘛
熱铜	熱痢
熱蠻	熱鬱
熱疲	熱痰
염 두	염두
炎甘草	炙甘草
厌茶	茯苓
厌측	茯苓
焰稱	焰硝
葉銷	葉鞘
葉蔽	葉腋
였 	였
였 다	였다
颖	穎
영 감강미	영감강미
영 향	영향
鋭	銳
오 령산	오령산
五 神	五神
五 臓	五臓
梧梗	桔梗
五茶散	五苓散
吳莱焚	大黃湯
吳莱雙	吳茱萸
澳散	渙散
五腺	五臟
五爷	五苓
五癒津	五癮津
五ᄎ	五大
吳菜！！	吳茱萸
吳菜!!	吳茱萸
吳菜！!	吳茱萸
吳菜英	吳茱萸
吳菜黃	吳茱萸
五측散	五苓散
五혼散	五苓散
五홉散	五苓散
五華散	五苓散
五휴散	五苓散
五흉散	五苓散
五흡散	五苓散
温	溫
蕴	蘊
溫 胞	溫煦
溫i»	溫膽
온경 탕	온경탕
溫臂	溫腎
溫脾황	溫脾湯
穩狀	穗狀
穩狀花	穗狀花
옹\(癒\)	옹(癰)
雍白	薤白
擁瘦	癱瘓
擁圓	橢圓
窝	窩
窝肝	瀉肝
窝心	瀉心
完活	羌活
왔 	왔
外 賢	外腎
외싱	외상
外賢	外腎
왼성	완성
揺溺	搐搦
耀閉	癃閉
욕 구	욕구
欲\*	欲大
欲嫩	欲漱
欲嚇	欲嚥
용 골모려	용골모려
용 된	용된
用 하	用하
冗盛	亢盛
祐	祛
우 울	우울
牛姜子	牛蒡子
牛萝子	牛蒡子
牛勞子	牛蒡子
우리 나라	우리나라
牛夢子	牛蒡子
憂攀	憂鬱
祐濕	祛濕
우을	우울
우을증	우울증
牛秦子	牛蒡子
牛蒂子	牛蒡子
祐風	祛風
祐疲	祛瘀
祐寒	祛寒
祐換血	袪瘀血
祐痕	祛痰
운 동	운동
운증	운 증
움 직	움직
웅 용	응용
雄藤	雄蕊
雄蓝	雄蕊
雄蔬	雄蕊
雄蘇	雄蕊
웅용	응용
雄滋	雄蕊
圓 柱	圓柱
圓 形	圓形
援茶	茯苓
院腹	脘腹
圓維	圓錐
圓雜	圓錐
월 경	월경
月力	肋
越姆	越婢
越碑	越婢
月市	肺
月旨	脂
偽	爲
偽	僞
衛 氣	衛氣
위\(爲\) 	위(僞) 
胃家费	胃家實
胃茶湯	胃苓湯
緯色	絳色
胃爷	胃苓
胃院	胃脘
謂之 	謂之
俞	兪
喻	喩
有 	有
儒 門	儒門
유 사	유사
有 餘	有餘
유 형	유형
癒癎	癲癎
癒狂	癲狂
癒疼	癮疹
유메iirni	유머hum
유메lu	유머hu
癒斑	瘀斑
癒病有五	癲病有五
癒病之	癲病之
癒屬喜	癲屬喜
乳瘦	乳癰
儒養	濡養
遊遙	逍遙
遺遙	逍遙
瑜垣	踰垣
癒爲心血	 癲爲心血
乳癒	乳癰
癒谊	癰疽
癒点	瘀点
癒點	瘀點
癒腫	癰腫
癒瘡	癰瘡
癒滯	瘀滯
癒則癎	癲則癎
癒則宜	癲則宜
有疲	有痰
游合	湯合
癒血	瘀血
癒桓	癰疽
癒痕	癰疽
육 체	육체
육경\(六@	육경(六經)
육균자	육군자
潤 膚	潤膚
으 	으
으 나	으나
으 로	으로
으 며	으며
으 면	으면
으로 하	으로하
으로하	으로 하
稳	穗
은것	은 것
稳狀	穗狀
은아니	은 아니
은의 사의	은 의사의
銀鍾散	銀翹散
은중간	은 중간
을 띠와	을 따라
을 人傳	을 사용
을가	을 가
을가 	을 가
을가지	을 가지
을결	을 결
을공격	을 공격
을忌	을 忌
을나타	을 나타
을높	을 높
을느	을 느
을동반	을 동반
을들	을 들
을때	을 때
을만	을 만
을목표	을 목표
을복용	을 복용
을볼	을 볼
을사용	을 사용
을선택	을 선택
을설명	을 설명
을수있	을 수 있
을실시	을 실시
을억제	을 억제
을없	을 없
을이해	을 이해
을인용	을 인용
을잘	을 잘
을제거	을 제거
을조정	을 조정
을참	을 참
을참고	을 참고
을초래	을 초래
을촉진	을 촉진
을치료	을 치료
을통	을 통
을포함	을 포함
을하	을 하
을한	을 한
을한다	을 한다
을할수	을 할 수
을함유	을 함유
飮	飮
飲	飮
陰 A	陰人
陰 乾	陰乾
音®	音啞
陰A	陰人
陰痺帶下	陰痒帶下
음식 물	음식물
陰桓	陰疽
응용 할	응용할
의 대옹	의 대응
醫 學	醫學
의 학을	의학을
醫\*	醫大
意\]茨仁	薏苡仁
意®	薏苡
의같	의 같
의개념	의 개념
의경우	의 경우
의경험	의 경험
醫氣丸	腎氣丸
의대응	의 대응
醫膜	翳膜
의선택	의 선택
의시윤리	의사윤리
意識	意識
宜伸忌變	宜伸忌鬱
宜伸忌聽	宜伸忌鬱
의작용	의 작용
醫障	翳障
의증상	의 증상
의학 의 	의학의 
이 게 	이게 
이 고 이고 	
이 나 	이나 
이 다\.	이다.
이 라	이라
이 란	이란
이 러	이러
이 론	이론
이 르	이르
이 면 	이면 
已 清	已潰
이\(\*\)	이(裏)
이\(«\)	이(裏)
二A	二人
이P로	이므로
二求湯	二朮湯
이나 \^날	이 나타날
이된다\.	이 된다.
이루 	이루
이른 바 	이른바 
이비 인후	이비인후
以소	以上
耳襲	耳聾
二十五人j	二十五人』
이싱	이상
이있	이 있
이조건	이 조건
이특징	이 특징
이포함	이 포함
익 기탕	익기탕
익 히	익히
익：>1탕	익기탕
益«1湯	益氣湯
익기 탕	익기탕
益氣渗	益氣湯
益氣游	益氣湯
益氣淸	益氣湯
익기팅	익기탕
茵 i莱萬	茵蔯蒿
人 之	人之
인 플루	인플루
人F용	사용
인괴론	인과론
人棄臓	人稟臓
茵끓萬	茵蔯蒿
人爹	人蔘
茵藤	茵蔯
人幕	人蔘
寅脈	實脈
人夢	人蔘
茵薩	茵蔯
人蔘游	人蔘湯
인삼人¥	인삼人蔘
人蔘場	人蔘湯
人蔘황	人蔘湯
人赛	人蔘
人않의학	사상의학
咽嚼	咽嗌
인증상	인 증상
茵陳	茵蔯
茵陳舊	茵蔯蒿
茵蔯萬	茵蔯蒿
茵陳萬	茵陳蒿
茵蔯嵩	茵蔯蒿
茵蔯惹	茵蔯蒿
人參	人蔘
茵草	茜草
인판단	인 판단
茵片	苞片
茵蔽萬	茵蔯蒿
茵표萬	茵蔯蒿
日 喃	日晡
일 본	일본
日 수용체	β 수용체
일 어	일어
일것	일 것
日喃	日晡
일븐	일본
임 상	임상
妊娠	姙娠
入\|•물탕	사물탕
있 	있
있는	있는 
있는다	있는 다
있도 톡	있도록
있어 서	있어서
자 궁	자궁
자 세	자세
自 汗	自汗
紫金鍵	紫金錠
紫紐	紫紺
藉藤	蘿菔
雌藤	雌蕊
雌蓝	雌蕊
紫綠	紫絳
雌蘇	雌蕊
자아이	지이•이
자을 신경	자율신경
자이•	자아
藉節	藕節
자주사	자주 사
茨층	茯苓
작 약	작약
芍 藥	芍藥
嚼斜	喎斜
작약 감초탕	작약감초탕
芍藥끓	芍藥湯
芍藥淸	芍藥湯
작약팅	작약탕
芍藥港	芍藥湯
芍藥황	芍藥湯
嚼吐	嘔吐
잘내	잘 내
臓	臟
蔵	藏
장 애	장애
張 元	張元
張 仲	張仲
獎果	漿果
臓膽	臟腑
張滿	脹滿
墙味	矯味
臟膝	臟腑
赃娠	姙娠
腸癒	腸癰
藏而不淸	藏而不瀉
張子 和	張子和
張痛	脹痛
臓贿	臟腑
才L	朮
才ᄂ	朮
齋香	麝香
在賢	在腎
猪茶	猪苓
저령 탕	저령탕
著墓朮甘	苓薑朮甘
猪爷	猪苓
著었仁	薏苡仁
猪측	猪苓
猪품	猪苓
著했仁	薏苡仁
猪혼	猪苓
猪휴	猪苓
猪흉	猪苓
积	枳
적 인 	적인 
滴肝	瀉肝
积穀	枳穀
赤铜	赤痢
积實	枳實
滴心	瀉心
적藥	芍藥
赤与	赤芍
摘圓	橢圓
敵瘡	斂瘡
적합 한 	적합한 
填	瀉
전 체	전체
癲狂瘤	癲狂癎
癲狂痴	癲狂癎
錢灸	鍼灸
전딜•	전달
殿粉	澱粉
全赐	全蝎
傳靑主	傅靑主
전체 적	전체적
截瘡	截瘧
漸熱	潮熱
정 돈	정돈
精 神	精神
征 仲	怔忡
情 志	情志
정 체	정체
정 형 	정형 
정4!	정신
정t!	정신
정기\(精췄	정기(精氣
정도전후	정도 전후
정도혹은	정도 혹은
精米	糯米
靜譜	靜謐
정신 과 	정신과 
정藥	芍藥
征仲	怔忡
诸茶	猪苓
蹄脾	歸脾
제상\(脑소	제상(臍上
挤蘇	疥癬
济蘇	疥癬
诸爷	猪苓
济癒	疥癬
诸측	猪苓
济痴	疥癬
诸휴	猪苓
졌 	졌
助骨	肋骨
조구 등	조구등
躁蠻	躁鬱
釣膝散	釣藤散
措溺	搐搦
조직회	조직화
條측	條芩
존 재	존재
尊片	萼片
卒中瘦	卒中痙
種 子	種子
腫\*	腫大
種腾	種臍
腫膜	腫脹
種膀	種臍
縱梭	縱稜
腫張	腫脹
縱稷	縱稜
腫臭	腥臭
좋 	좋
좋 을	좋을
좋이이:	좋아야
좌 절	좌절
죄측	좌측
湊黎	蒺藜
凑黎	蒺藜
週遙散	逍遙散
晝黃	薑黃
竹？H 	竹茹
竹\?5	竹茹
竹歷	竹瀝
竹药	竹茹
竹苑	竹茹
竹前溫	竹茹溫
竹節	竹茹
竹妬	竹茹
竹환	竹茹
중 간정도	중간 정도
중 요한	중요한
中 诸	中渚
중간정도	중간 정도
中柩	中樞
重獨	重濁
中诸	中渚
중후군	증후군
증과치료	증과 치료
증상 을 	증상을 
증상이 \^\^난다	증상이 나타난다
증싱	증상
之 	之
之 A	之人
지 기 	지기 
지 면 	지면 
之 症	之症
지 湯\)	지황)
지\"살	자살
之A	之人
지P로	지므로
地檢	地楡
枳穀	枳殼
止極	止痙
止涛	止瀉
止铜	止痢
止漠	止瀉
지맥\(遲M	지맥(遲脈
止捧	止痒
紙婦	姙婦
知相地黃	知栢地黃
之腺	之臟
枝薛丸	枝茯苓丸
止瘦	止痙
紙娠	姙娠
지않	지 않
地愉	地楡
지을신경	자율신경
지이^go	자아ego
지이\^go	자아ego
지이■	자아
지이•	자아
지이•이	자아이
止嚼	止嘔
知梯	知悌
止清	止瀉
止湯	止瀉
지湯\)	지황)
止择	止痒
지특징	지 특징
止幅	止嘔
之贿	之腑
肢晕	眩暈
稷線	稜線
織盛	熾盛
鎮	鎭
진 찰	진찰
진 피	진피
秦^	秦艽
秦II	秦艽
眞武끓	眞武湯
眞武淸	眞武湯
眞武港	眞武湯
眞武황	眞武湯
鎮物	鑛物
진사실	진 사실
鎭瘦	鎭痙
진우탕	진무탕
秦표	秦艽
陳下1季	臍下悸
진행 되	진행되
蔯蒿港	蔯蒿湯
질 환	질환
跌風	祛風
질환 을 	질환을 
집이•	잡아
懲結	鬱結
癥瘕發背	癰疽發背
癥瘕瀉傷	癰疽潰瘍
癥瘕瘡毒	癰疽瘡毒
癥瘕瘡瘍	癰疽瘡瘍
澄黃	橙黃
짖먹이	젖먹이
짧 	짧
짧碑	越婢
쨌 	쨌
ᄎ	大
ᄎ建中	大建中
ᄎ棄	大棗
ᄎ腦	大腦
ᄎ裏	大棗
ᄎ補	大補
ᄎ承氣	大承氣
ᄎ柴胡	大柴胡
ᄎ宗	大宗
ᄎ黃	大黃
착긱	착각
賛抚	贅疣
纂本	藁本
赞傷	燙傷
참 조	참조
參藍	蓼藍
참지아	참자아
蒼 朮	蒼朮
蒼Tit	蒼朮
倉角	皂角
瘡傷	瘡瘍
瘡蘇	瘡癬
蒼었仁	薏苡仁
瘡癒	瘡癰
瘡济	瘡疥
瘡蕩	瘡瘍
찾 	찾
寨本	藁本
책 임	책임
처 럼	처럼
처 해	처해
凄靡	萎靡
凄薄	痿薄
凄璧	痿躄
척 도	척도
척 수	척수
迁	迂
川 휴	川芎
天A相	天人相
川g辛夷	川芎辛夷
天麻場	天麻湯
川写	川芎
川혹	川芎
川휴	川芎
叠	疊
清	淸
清	瀉
青	靑
淸 熱	淸熱
清肝	瀉肝
淸窮	淸竅
靑黨	靑黛
靑萬	菁蒿
淸發	淸竅
清白	瀉白
靑嵩	靑蒿
청藥	芍藥
靑育I湯	靑龍湯
靑育틀	靑龍
廳頂	巓頂
清肺	瀉肺
淸疲敗	淸瘟敗
淸下劑	瀉下劑
清火	瀉火
滞	滯
체 계	체계
체 적	체적
쳤 	쳤
초方	古方
焦張	焦脹
촉 지	촉지
燭 活	獨活
觸痛	蠲痛
燭活	獨活
촌구 맥	촌구맥
총 괄	총괄
총門冬 湯	麥門冬湯
總荀	總苞
總茵	總苞
最 近	最近
추 구	추구
抽捲	抽搐
抽揺	抽搐
抽搭	抽搐
축식#기	축삭돌기
축식돌	축삭돌
逐癒	逐瘀
출 혈	출혈
출감팅	출감탕
출무탕	출부탕
충 동	충동
充盛	亢盛
充進	亢進
充活	羌活
췌\(勝\)	췌(膵)
취 급	취급
측 면	측면
측 정	측정
측甘	苓甘
측桂교甘	苓桂朮甘
측墓	苓薑
側相	側栢
치 료	치료
治 準繩	治準繩
齒艱	齒齦
致裹	致藁
齒紐	齒衄
치료처방	치료 처방
致薬	致藁
致養	致藁
齒銀	齒齦
痴疾	癎疾
治疲	治痰
則 	則
친 다\.	친다.
沈IJi	沈脈
沈秦元	沈麝元
枕核	桃核
칭출	창출
캠술	캡슐
케하	케 하
케한다	케 한다
콜 린	콜린
콤 플	콤플
크 	크
큰도움	큰 도움
키 닌	키닌
킨 다	킨다
타 내	타내
墮塞	壅塞
墮盛	壅盛
吞	呑
诞	涎
灘腫	癰腫
脫K	脫肛
脫紅	脫肛
搭滿	痞滿
搭鞭	痞鞭
湯슴	湯合
蕩心湯	瀉心湯
湯火	瀉火
笞	苔
戻	戾
태 도	태도
태 어	태어
太艱	太谿
태양 병	태양병
太豁	太谿
澤溝	澤瀉
澤涛	澤瀉
澤清	澤瀉
턴藥	芍藥
테 리	테리
吐紐	吐衄
吐膽	吐膿
吐清	吐瀉
통 제	통제
통 합	통합
통 해	통해
痛癎	癲癎
通艱	通竅
通鼓	通竅
痛과 癎	癲과 癎
痛과 狂	癲과 狂
痛狂	癲狂
痛滿	痞滿
痛病多由痰	癲病多由痰
通遙散	逍遙散
通遥散	逍遙散
痛爲心血不足	癲爲心血不足
通毅	通竅
腿間	膈間
退醫	退翳
透疼	透疹
투사 pro	투사pro
透渗	透疹
투시pro	투사pro
투여 군	투여군
특 정	특정
특 징	특징
특 히	특히
틀師	醫師
티 스	티스
파 괴	파괴
파 민	파민
播痺	搔痒
破癒	破癥
播溺	搐搦
辦	瓣
판 단	판단
판 정	판정
팔 미지황	팔미지황
八_黄丸	八味地黄丸
八\^!黃 丸	八味地黃丸
八雜黃丸	八味地黃丸
八八顿黃효	八味地黄丸
八舰黃丸	八味地黃丸
敗毒했	敗毒散
敗營	敗醬
敗醫	敗醬
팬찮	괜찮
膨\*	膨大
篇 j	篇」
篇j	篇』
便賈	便覽
便塘	便溏
便糖	便溏
편두 통	편두통
扁昔\I	扁鵲
偏擁	偏癱
偏充	偏亢
평7\|	평가
平A	平人
平曙散	平胃散
폐 렴	폐렴
蔽 血	瘀血
肺瘦	肺癰
肺癒	肺癰
肺凄	肺痿
蔽血	瘀血
褒	痰
褒多	痰多
葡萄	葡萄
炮墓	炮薑
褒蜜	痰壅
葡荀	葡葍
褒飮	痰飮
포인트\n\n	포인트\n
炮晝	炮薑
포함 하	포함하
褒咳	痰咳
炮畫	炮薑
暴庫	暴癉
폭歸	芎歸
幅惡	嘔惡
幅逆	嘔逆
幅吐	嘔吐
幅血	嘔血
표 \(S\)	표(表)
表 面	表面
표杏甘石	麻杏甘石
풀라스	플라스
風 熱	風熱
풍\(膨	풍(風)
豊角	皂角
風疼	風疹
風摔	風痺
플 러	플러
피 네	피네
披 針	披針
皮穀	皮殼
疲多	痰多
疲軟	痠軟
疲熱	痰熱
避遙	逍遙
疲飮	痰飮
疲이	痰이
疲因	痰因
疲血	瘀血
必 	必
필 요	필요
필 자	필자
필연 적	필연적
하 게 	하게 
하 기 	하기 
하 는	하는
하 는 	하는 
하 다\.	하다.
하 며	하며
하 면 	하면 
하 므	하므
하 여 	하여 
하 지 	하지 
하\^ 	하는 
하H로	하므로
하P로	하므로
하게 \^다\.	하게 된다.
하게하	하게 하
하고 \^음	하고 있음
하고그	하고 그
하기도한	하기도 한
下铜	下痢
下铜 	下痢
하므로써	함으로써
嚇不下	嚥不下
霞砂	蠶砂
瑕石膏	煆石膏
瑕用	煆用
하지 만 	하지만 
下險	下瞼
